Bill_ID,item_ID,QUANTITY,PRICE,Total,ItemType,ParentID,item_notes,Item,Category,day,Date,Hour,period,date_only
144141,113708,1.0,160.0,200.0,1.0,0.0,combo,JOG,main,Tuesday,2025-04-29 23:57:04.810,23.0,evening,2025-04-29
144141,113709,2.0,165.0,330.0,1.0,0.0,(),Jvolt,drink,Tuesday,2025-04-29 23:57:04.810,23.0,evening,2025-04-29
144142,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink,Tuesday,2025-04-29 20:30:32.777,20.0,evening,2025-04-29
144143,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main,Tuesday,2025-04-29 21:00:14.033,21.0,evening,2025-04-29
144143,113732,1.0,30.0,30.0,2.0,245586.0,(),MUSHROOMS,side,Tuesday,2025-04-29 21:00:14.033,21.0,evening,2025-04-29
144144,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main,Tuesday,2025-04-29 22:26:05.800,22.0,evening,2025-04-29
144145,113712,1.0,210.0,210.0,1.0,0.0,(),WildBlaze,main,Tuesday,2025-04-29 22:38:42.440,22.0,evening,2025-04-29
144145,113732,1.0,30.0,30.0,2.0,245593.0,(),MUSHROOMS,side,Tuesday,2025-04-29 22:38:42.440,22.0,evening,2025-04-29
144145,113746,1.0,80.0,80.0,1.0,0.0,(),Cheesy Waffle'd,main,Tuesday,2025-04-29 22:38:42.440,22.0,evening,2025-04-29
144148,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink,Tuesday,2025-04-30 01:04:48.013,1.0,late_night,2025-04-30
144149,113715,3.0,220.0,660.0,1.0,0.0,(),4PcVolt,drink,Wednesday,2025-04-30 20:23:54.807,20.0,evening,2025-04-30
144149,113757,3.0,35.0,105.0,1.0,0.0,(),v7 cola,drink,Wednesday,2025-04-30 20:23:54.807,20.0,evening,2025-04-30
144150,113715,1.0,220.0,220.0,1.0,0.0,(),4PcVolt,drink,Wednesday,2025-04-30 18:14:07.443,18.0,evening,2025-04-30
144151,113715,1.0,220.0,220.0,1.0,0.0,(),4PcVolt,drink,Wednesday,2025-04-30 18:43:02.023,18.0,evening,2025-04-30
144151,113725,1.0,380.0,0.0,4.0,245604.0,(),3PC NASH,main,Wednesday,2025-04-30 18:43:02.023,18.0,evening,2025-04-30
144151,113746,1.0,80.0,80.0,1.0,0.0,(),Cheesy Waffle'd,main,Wednesday,2025-04-30 18:43:02.023,18.0,evening,2025-04-30
144151,113759,1.0,35.0,35.0,1.0,0.0,(),Green cola,drink,Wednesday,2025-04-30 18:43:02.023,18.0,evening,2025-04-30
144152,113715,1.0,220.0,220.0,1.0,0.0,(),4PcVolt,drink,Wednesday,2025-04-30 18:47:51.730,18.0,evening,2025-04-30
144153,113741,1.0,125.0,125.0,1.0,0.0,(),TNT Fries,side,Wednesday,2025-04-30 18:53:16.903,18.0,evening,2025-04-30
144153,113757,2.0,35.0,70.0,1.0,0.0,(),v7 cola,drink,Wednesday,2025-04-30 18:53:16.903,18.0,evening,2025-04-30
144154,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Wednesday,2025-04-30 19:11:25.740,19.0,evening,2025-04-30
144154,113757,2.0,35.0,70.0,1.0,0.0,(),v7 cola,drink,Wednesday,2025-04-30 19:11:25.740,19.0,evening,2025-04-30
144155,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Wednesday,2025-04-30 19:15:18.137,19.0,evening,2025-04-30
144155,113741,1.0,125.0,125.0,1.0,0.0,(),TNT Fries,side,Wednesday,2025-04-30 19:15:18.137,19.0,evening,2025-04-30
144155,113757,2.0,35.0,70.0,1.0,0.0,(),v7 cola,drink,Wednesday,2025-04-30 19:15:18.137,19.0,evening,2025-04-30
144156,113713,2.0,250.0,540.0,1.0,0.0,combo,WildNash,main,Wednesday,2025-04-30 20:00:33.770,20.0,evening,2025-04-30
144157,113715,1.0,220.0,220.0,1.0,0.0,(),4PcVolt,drink,Wednesday,2025-04-30 21:22:11.243,21.0,evening,2025-04-30
144158,113708,1.0,160.0,200.0,1.0,0.0,combo,JOG,main,Wednesday,2025-04-30 22:53:38.700,22.0,evening,2025-04-30
144158,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main,Wednesday,2025-04-30 22:53:38.700,22.0,evening,2025-04-30
144159,113709,1.0,165.0,165.0,1.0,0.0,(),Jvolt,drink,Wednesday,2025-04-30 23:16:48.000,23.0,evening,2025-04-30
144160,113713,2.0,250.0,500.0,1.0,0.0,(),WildNash,main,Wednesday,2025-05-01 03:08:06.900,3.0,late_night,2025-05-01
144162,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Wednesday,2025-05-01 03:09:55.267,3.0,late_night,2025-05-01
144163,113710,2.0,190.0,420.0,1.0,0.0,combo,Jnash,main,Wednesday,2025-05-01 03:09:55.330,3.0,late_night,2025-05-01
144160,113764,2.0,25.0,50.0,1.0,0.0,(),Maxi Cola,drink,Wednesday,2025-05-01 03:08:06.900,3.0,late_night,2025-05-01
144164,113711,2.0,210.0,420.0,1.0,0.0,(),WildEpic,main,Thursday,2025-05-01 17:37:33.453,17.0,afternoon,2025-05-01
144164,113723,1.0,300.0,300.0,1.0,0.0,(),3PC OG,main,Thursday,2025-05-01 17:37:33.453,17.0,afternoon,2025-05-01
144164,113746,1.0,80.0,80.0,1.0,0.0,(),Cheesy Waffle'd,main,Thursday,2025-05-01 17:37:33.453,17.0,afternoon,2025-05-01
144165,113710,1.0,190.0,190.0,1.0,0.0,(),Jnash,main,Thursday,2025-05-01 18:03:32.057,18.0,evening,2025-05-01
144165,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Thursday,2025-05-01 18:03:32.057,18.0,evening,2025-05-01
144166,113723,2.0,300.0,600.0,1.0,0.0,(),3PC OG,main,Thursday,2025-05-01 18:10:00.870,18.0,evening,2025-05-01
145145,113712,1.0,210.0,250.0,1.0,0.0,combo,WildBlaze,main,Thursday,2025-05-01 18:47:24.717,18.0,evening,2025-05-01
145146,113712,1.0,210.0,250.0,1.0,0.0,combo,WildBlaze,main,Thursday,2025-05-01 18:58:00.427,18.0,evening,2025-05-01
145146,113745,1.0,70.0,70.0,1.0,0.0,(),FRISKES,side,Thursday,2025-05-01 18:58:00.427,18.0,evening,2025-05-01
145146,113739,1.0,120.0,0.0,4.0,246596.0,(),Jalapeno Cheddar Bite,side,Thursday,2025-05-01 18:58:00.427,18.0,evening,2025-05-01
145147,113746,1.0,80.0,80.0,1.0,0.0,(),Cheesy Waffle'd,main,Thursday,2025-05-01 19:01:10.173,19.0,evening,2025-05-01
