Billdet_ID,FRANCHISE_ID,SITE_ID,Bill_ID,item_ID,QUANTITY,PRICE,Total,Note,ItemName,ItemName_Local,ItemType,ParentID,IsUpload,BillDetailStatus,BillDetailKey,TotalBeforDiscount,PriceListId,Bill_UnitID,CallCenterOrderDetailId,tablekey_ID,DetailSourceId,DiscountValue,TaxValue
245494,139,257,144119,113709,1.000000,165.000000,165.000000,NULL,Jvolt,NULL,1,0,1,4,NULL,165.000000,0,147302,NULL,0,NULL,0.000000,0.000000
245495,139,257,144119,113708,1.000000,160.000000,160.000000,NULL,JOG,NULL,1,0,1,4,NULL,160.000000,0,147301,NULL,0,NULL,0.000000,0.000000
245496,139,257,144119,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245495,1,4,257-245496,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245497,139,257,144119,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245495,1,4,NULL,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245498,139,257,144120,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245499,139,257,144120,113712,1.000000,210.000000,210.000000,NULL,WildBlaze,NULL,1,0,1,4,NULL,210.000000,0,147305,NULL,0,NULL,0.000000,0.000000
245500,139,257,144120,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245499,1,4,257-245500,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245501,139,257,144120,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245499,1,4,NULL,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245502,139,257,144121,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245503,139,257,144121,0,1.000000,0.000000,0.000000,NULL,LEMON,NULL,4,245502,1,4,NULL,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245504,139,257,144122,113709,1.000000,165.000000,165.000000,NULL,Jvolt,NULL,1,0,1,4,NULL,165.000000,0,147302,NULL,0,NULL,0.000000,0.000000
245505,139,257,144122,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245504,1,4,257-245505,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245506,139,257,144122,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
245507,139,257,144123,113713,1.000000,250.000000,250.000000,NULL,WildNash,NULL,1,0,1,4,NULL,250.000000,0,147306,NULL,0,NULL,0.000000,0.000000
245508,139,257,144123,0,1.000000,0.000000,0.000000,NULL,وايلد بارد مع مشروم وبيكون ,NULL,4,245507,1,4,257-245508,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245509,139,257,144123,113713,1.000000,250.000000,250.000000,NULL,WildNash,NULL,1,0,1,4,NULL,250.000000,0,147306,NULL,0,NULL,0.000000,0.000000
245510,139,257,144123,0,1.000000,0.000000,0.000000,NULL,بدون خيار مخلل,NULL,4,245509,1,4,257-245510,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245511,139,257,144123,0,1.000000,0.000000,0.000000,NULL,وايلد بارد مع موتزريلا سايحة وحلقتين بصل ,NULL,4,245509,1,4,257-245511,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245512,139,257,144123,113713,1.000000,250.000000,250.000000,NULL,WildNash,NULL,1,0,1,4,NULL,250.000000,0,147306,NULL,0,NULL,0.000000,0.000000
245513,139,257,144123,0,1.000000,0.000000,0.000000,NULL,نفسه بس بخيار ,NULL,4,245512,1,4,257-245513,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245514,139,257,144123,0,1.000000,0.000000,0.000000,NULL,سويت تشيلي كب ,NULL,4,245512,1,4,257-245514,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245515,139,257,144123,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245512,1,4,257-245515,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245516,139,257,144123,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245512,1,4,257-245516,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245517,139,257,144123,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245512,1,4,NULL,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245518,139,257,144124,113708,1.000000,160.000000,160.000000,NULL,JOG,NULL,1,0,1,4,NULL,160.000000,0,147301,NULL,0,NULL,0.000000,0.000000
245519,139,257,144125,113708,1.000000,160.000000,160.000000,NULL,JOG,NULL,1,0,1,4,NULL,160.000000,0,147301,NULL,0,NULL,0.000000,0.000000
245520,139,257,144125,113708,1.000000,160.000000,160.000000,NULL,JOG,NULL,1,0,1,4,NULL,160.000000,0,147301,NULL,0,NULL,0.000000,0.000000
245521,139,257,144125,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245520,1,4,257-245521,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245522,139,257,144125,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245520,1,4,NULL,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245523,139,257,144126,113716,1.000000,280.000000,280.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,280.000000,0,147309,NULL,0,NULL,0.000000,0.000000
245524,139,257,144126,113716,1.000000,280.000000,280.000000,NULL,4PcNash,NULL,1,0,1,4,NULL,280.000000,0,147309,NULL,0,NULL,0.000000,0.000000
245525,139,257,144126,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245526,139,257,144126,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245527,139,257,144127,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245528,139,257,144127,0,1.000000,0.000000,0.000000,NULL,بدون الاستيكس ,NULL,4,245527,1,4,257-245528,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245529,139,257,144127,113723,1.000000,300.000000,300.000000,NULL,3PC OG,NULL,1,0,1,4,NULL,300.000000,0,147316,NULL,0,NULL,0.000000,0.000000
245530,139,257,144127,0,1.000000,0.000000,0.000000,NULL,هاني ماستر بافلو رانش,NULL,4,245529,1,4,NULL,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245531,139,257,144128,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245532,139,257,144128,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245531,1,4,NULL,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245533,139,257,144129,113710,1.000000,190.000000,190.000000,NULL,Jnash ,NULL,1,0,1,4,NULL,190.000000,0,147303,NULL,0,NULL,0.000000,0.000000
245534,139,257,144129,113709,1.000000,165.000000,165.000000,NULL,Jvolt,NULL,1,0,1,4,NULL,165.000000,0,147302,NULL,0,NULL,0.000000,0.000000
245535,139,257,144129,113742,1.000000,35.000000,35.000000,NULL,French Fries,NULL,1,0,1,4,NULL,35.000000,0,147335,NULL,0,NULL,0.000000,0.000000
245536,139,257,144130,113708,1.000000,160.000000,160.000000,NULL,JOG,NULL,1,0,1,4,NULL,160.000000,0,147301,NULL,0,NULL,0.000000,0.000000
245537,139,257,144131,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
245538,139,257,144131,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
245539,139,257,144132,113709,1.000000,165.000000,165.000000,NULL,Jvolt,NULL,1,0,1,4,NULL,165.000000,0,147302,NULL,0,NULL,0.000000,0.000000
245540,139,257,144132,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245539,1,4,257-245540,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245541,139,257,144132,113708,1.000000,160.000000,160.000000,NULL,JOG,NULL,1,0,1,4,NULL,160.000000,0,147301,NULL,0,NULL,0.000000,0.000000
245542,139,257,144132,113712,1.000000,210.000000,210.000000,NULL,WildBlaze,NULL,1,0,1,4,NULL,210.000000,0,147305,NULL,0,NULL,0.000000,0.000000
245543,139,257,144131,113723,1.000000,300.000000,300.000000,NULL,3PC OG,NULL,1,0,1,4,NULL,300.000000,0,147316,NULL,0,NULL,0.000000,0.000000
245544,139,257,144132,113741,1.000000,125.000000,125.000000,NULL,TNT Fries,NULL,1,0,1,4,NULL,125.000000,0,147334,NULL,0,NULL,0.000000,0.000000
245545,139,257,144132,0,1.000000,0.000000,0.000000,NULL,HAVE A NICE MEAL DOC,NULL,4,245544,1,4,257-245545,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245546,139,257,144132,113746,1.000000,80.000000,80.000000,NULL,Cheesy Waffle'd,NULL,1,0,1,4,NULL,80.000000,0,147339,NULL,0,NULL,0.000000,0.000000
